device_name,vrf,ip_address,mac_address,vendor,interface
aruba,default,192.168.1.2,dc:a6:32:2a:10:38,Raspberry Pi Trading Ltd,1/1/1
aruba,Cust_C,10.20.0.10,00:50:79:66:68:0b,Private,1/1/4
aruba,Cust_B,10.10.0.10,00:50:79:66:68:0a,Private,1/1/3
aruba,default,192.168.1.1,74:12:13:14:41:b0,N/A,1/1/1
aruba,Cust_A,10.0.0.10,00:50:79:66:68:09,Private,1/1/2
