device_name,vrf,ip_address,mac_address,vendor,interface
R1,default,192.168.1.2,DC:A6:32:2A:10:38,Raspberry Pi Trading Ltd,GigabitEthernet0/0
R1,default,192.168.1.223,50:00:00:02:00:00,N/A,GigabitEthernet0/0
R1,default,192.168.1.2,DC:A6:32:2A:10:38,Raspberry Pi Trading Ltd,GigabitEthernet0/0
R1,default,192.168.1.223,50:00:00:02:00:00,N/A,GigabitEthernet0/0
R1,default,192.168.1.2,DC:A6:32:2A:10:38,Raspberry Pi Trading Ltd,GigabitEthernet0/0
R1,default,192.168.1.223,50:00:00:02:00:00,N/A,GigabitEthernet0/0
