device_name,vrf,ip_address,mac_address,vendor,interface
aruba,default,192.168.1.1,74:12:13:14:41:b0,N/A,1/1/1
aruba,default,192.168.1.2,dc:a6:32:2a:10:38,Raspberry Pi Trading Ltd,1/1/1
